trip_id,date,date_time,day,driver,car_type,city,price,price_round,start_time,start_address,end_time,end_address,distance in km,duration in minutes
edbee050-fa2f-4752-a3d5-5ad5a03e4d00,12/06/17,"Wednesday, December 6, 2017 6:35 PM",Wednesday,Chanchal,uberGO,Delhi NCR,108.03,108,6:35 PM,"B-145, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",6:51 PM,"Plot No M 03, Sector 18, Noida, Uttar Pradesh 201301, India",5.6,16
eeee8e66-be6c-442a-81b8-6a165a9eb296,12/03/17,"Sunday, December 3, 2017 7:47 AM",Sunday,Mahendra,Airport Go,Bangalore,682.75,682.8,7:47 AM,"G Block, Platinum City, Watch Factory Rd, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",8:31 AM,"KIAL Rd, Devanahalli, Bengaluru, Karnataka 560300, India",33.5,44
0d21bf50-7722-40c2-b3e5-157cea8ba6c1,11/27/17,"Monday, November 27, 2017 12:20 PM",Monday,Manjunath,uberGO,Bangalore,55,55,12:20 PM,"#12 HMT Link Road,, Off Tumkur Road, Yeshwanthpur Industrial Area, Phase 1, Yeshwanthpur, Bengaluru, Karnataka 560022, India",12:46 PM,"No. 19, ITI Layout, RMV Extension Stage 2, AG's Layout, Mathikere, Bengaluru, Karnataka 560094, India",5.9,26
9564bcee-4c0f-4100-8363-e6a8101d2dde,11/05/17,"Sunday, November 5, 2017 9:24 PM",Sunday,Manikanta,uberGO,Bangalore,113.01,113,9:24 PM,"G Block, Watch Factory Rd, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",9:57 PM,"45/4, Tumkur Road, Above Bank Of Baroda, Near APMC Police Station, Yeshwanthpur, Bengaluru, Karnataka 560022, India",3.6,33
c9044269-6274-40a0-bf82-42d03e2c85cd,11/04/17,"Saturday, November 4, 2017 10:10 PM",Saturday,Vijay singh,uberGO,Bangalore,253.56,253.6,10:10 PM,"10, Leonard Ln, Richmond Town, Bengaluru, Karnataka 560025, India",10:59 PM,"Watch Factory Road, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",19.7,49
204c9eb2-21bb-4196-ae43-d076ed4b5281,10/29/17,"Sunday, October 29, 2017 7:46 PM",Sunday,kumar,uberGO,Bangalore,391.25,391.3,7:46 PM,"873, 5th Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560047, India",8:39 PM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",23.8,53
565e5501-258b-4733-be3b-bcd84679e27f,10/27/17,"Friday, October 27, 2017 8:28 PM",Friday,Iftikhar ahmed,uberGO,Bangalore,130.83,130.8,8:28 PM,"Namaz Hall, Watch Factory Rd, Platinum City, Industrial Area,Stage 1, Yeshwanthpur, Bengaluru, Karnataka 560022, India",8:53 PM,"84, 80 Feet Rd, Jaladarsini Layout, Sanjaynagar, Bengaluru, Karnataka 560094, India",7.3,25
ac6c051a-04bc-4b58-97b6-a21c24348caa,10/20/17,"Friday, October 20, 2017 10:43 AM",Friday,Yoge gowda,uberGO,Bangalore,660.49,660.5,10:43 AM,Uber Zone Behind Cafe Coffee Day Kempegowda International Airport,11:38 AM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",35.3,55
f598d62b-3c03-4a3f-8a45-c966fcedd605,10/17/17,"Tuesday, October 17, 2017 1:20 PM",Tuesday,Manoj,uberGO,Delhi NCR,113.19,113.2,1:20 PM,"B-145, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",1:42 PM,"Plot No â€“ M 03, Sector 18, Noida, Uttar Pradesh 201301, India",6.1,22
25f194cb-baff-465f-83df-b0bf48f0bee8,10/12/17,"Thursday, October 12, 2017 6:56 AM",Thursday,Ziyauddin,Airport Go,Bangalore,591.28,591.3,6:56 AM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",7:46 AM,"KIAL Rd, Devanahalli, Bengaluru, Karnataka 560300, India",33.7,50
de172292-8174-465c-94ee-60d96c1c1857,10/09/17,"Monday, October 9, 2017 5:55 PM",Monday,Bala,uberGO,Bangalore,197.72,197.7,5:55 PM,"159, 6th A Main Rd, Kauser Nagar, Dinnur, Hebbal, Bengaluru, Karnataka 560032, India",6:31 PM,"#12 HMT Link Road,, Off Tumkur Road, Yeshwanthpur Industrial Area, Phase 1, Yeshwanthpur, Bengaluru, Karnataka 560022, India",11.4,36
8d49a5f5-334c-4494-a89a-51ddbee3631b,09/10/17,"Sunday, September 10, 2017 11:29 PM",Sunday,gangadhara,uberGO,Bangalore,120.38,120.4,11:29 PM,"195, New BEL Rd, KGE Layout, Mathikere, Bengaluru, Karnataka 560054, India",11:45 PM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",6.9,16
6a765e53-2af5-465e-a0d5-3acf6cb44af5,09/10/17,"Sunday, September 10, 2017 9:26 PM",Sunday,Prathap,uberGO,Bangalore,122.36,122.4,9:26 PM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",9:49 PM,"230, New BEL Rd, AG's Layout, Mathikere, Bengaluru, Karnataka 560054, India",7.7,23
a6e7ae78-a0eb-4848-b243-06c038acfc0d,08/07/17,"Monday, August 7, 2017 7:03 PM",Monday,Mahesh,uberGO,Bangalore,654.93,654.9,7:03 PM,Uber Zone (Behind Cafe Coffee Day) Kempegowda International Airport,8:09 PM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",33.9,66
07989aae-14de-4223-b6ab-3024f81c05a5,08/04/17,"Friday, August 4, 2017 7:05 AM",Friday,Gajendra,Airport Go,Bangalore,642.76,642.8,7:05 AM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",7:55 AM,"KIAL Rd, Devanahalli, Bengaluru, Karnataka 560300, India",33.7,50
edec753b-ddaf-4b0b-8bf7-dd32f7000f94,07/29/17,"Saturday, July 29, 2017 10:56 PM",Saturday,Bhumananda,uberGO,Bangalore,372.24,372.2,10:56 PM,"16th Cross, Sharadhanagar, Eswara Layout, Phase 7, JP Nagar, Bengaluru, Karnataka 560078, India",11:56 PM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",20.4,60
